filename,score,skills,text
10985403.pdf,1.0,['machine learning'],mechanical engineering intern summary cad   cam   finite element analysis   mechanical design   product design and development skills 5 years of experience with cad packages  solidworks  autodesk inventor  autocad  catia  ptc creo  2 5 years of experience with cae softwares  hypermesh  abaqus  ansys  optistruct  2 5 years of experience with analysis  linear   non-linear static  dynamic  gd   t  tolerance analysis  design optimization  experience with sheet metal  design for manufacturing  genera...
11890896.pdf,1.0,['c++'],senior engineering manager summary personable  patient and adaptable math tutor with 3 years of experience tutoring k-12 and college students in mathematics  highly reliable and approachable person with 8 years of professional experience in people management  leadership  documentation  multi-tasking  innovation and creativity  gained through the corporate world of silicon valley  accomplishments problem solving â assisted students from k-12 through college on a variety of class assignments  help...
12011623.pdf,1.0,"['python', 'c++', 'machine learning']",engineering and quality technician career overview a highly experienced skilled graduate with analytics degree with a very good experience in sas  web scraping  sql  predictive modelling and data visualization  excellent ability in identifying data requirements for analysis  data cleaning  munging and model building  ensures the organization uses it effectively to reach profit and growth objectives  comfortable with data handling  modeling  and coding  and have an appreciation of what makes sens...
12022566.pdf,1.0,['c++'],engineering intern summary candidate with a fifteen months experience in production supervising and manufacturing seeking opportunity in field of quality  supply chain and manufacturing highlights dmaic  failure modes and effective analysis  fmea   kaizen  lean manufacturing   5s  value stream mapping  root cause analysis  pfmea quality tools  statistical process control  process capability  anova  gage r   r software  programmable logic controls  plc   discrete control system  dcs   microsoft o...
20981299.pdf,0.99,['c++'],engineering assistant summary product and process engineer with more than three years of experience with leading projects on new product development  new model assembly launch  quality and toyota production systems  extensive understanding on process engineering and design and development of automotive systems  skills c  r  catia  autocad  ansys  microsoft office  product project management  gd t  minitab  kanban  kaizen  fmea  development  toyota production systems  apqp  ppap  8d  5 why  kpi s...
21807224.pdf,0.98,['aws'],engineering manager profile lean manufacturing professional with 20 years experience in lean manufacturing and continuous improvement  highly skilled in all lean six sigma initiatives  skills microsoft office visio inventor lean manufacturingâ   spc fmea minitab process improvement professional experience 12 2015 to 08 2016 engineering manager company name ï¼  city   state build the foundation for the engineering department at airmate company  lead  develop  and mentor a group of engineers on da...
19396040.pdf,0.96,"['python', 'java', 'c++']",industrial engineering intern summary seeking for full time position where i can apply my technical knowledge   skills for continuous improvement  i have 26 months of experience in lean manufacturing  production planning and supply chain management  excellent computer and analytical skills  highlights application software  ms office  minitab  powerpoint  excel  solid works  autocad  pro e database  ms access  sap programming  java  c  c++  visual basic  r  python accomplishments quality control ...
17488801.pdf,0.91,[],engineering manager quality manager profile results driven mechanical engineer with excellent technical  analytical  and communication skills  a record of positive achievement demonstrated by extensive participation and leadership in manufacturing engineering  engineering management  and production management projects  additional experience in design  marketing and manufacturing support for fabricated metal products used for polymer filtration  turbine engine gas path seals  aerospace and indust...
18753367.pdf,0.91,['c++'],engineering project manager iii summary results-focused  safety conscientious team leader player with more than 15 years of successful experience in the aviation industry as field engineer  maintenance support engineer  a p mechanic  and avionics technician on various types of rotary and fixed wing aircraft  experienced in all phases of commercial and military aviation maintenance  aviation business  engineering  logistics  support  and supply  analytical   troubleshooting skills  project manage...
22605864.pdf,0.91,[],software engineering team lead profile i have over 10 years of experience in the field of it infrastructure consulting and operations  i have worked on various microsoft technologies such as system center suite  scom  sccm  scvmm   virtualization  hyper v   windows 2003  2008 active directory  dns  dhcp  windows clusters  scripting  powershell  vbscript   etc  i am currently working for accenture technologies  i am currently onsite working for our client in usa since march 2012  i am looking for...
24322804.pdf,0.91,['c++'],engineering business unit leader summary i am seeking a position within a maintenance engineering department  i have completed a bachelor of science degree in engineering technology with a concentration in computer engineering and a minor in computer science from middle tennessee state university  i feel that i am a great candidate to be employed in technical role due my education and experience with arcelormittal and pepsico  course work for my degree included instrumentation controls and engin...
